OBJECTID,IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK,FID,Id,X,Y
1169,-1,53,0.066286220424108,1,53,0,-97.312500000000000,30.437500000000000
1170,-1,71,0.057693294688650,1,71,0,-97.062500000000000,30.562500000000000
1171,-1,71,0.057854448613846,1,71,0,-97.062500000000000,30.562500000000000
1172,-1,56,0.080669826664032,1,56,0,-96.937500000000000,30.437500000000000
1173,-1,72,0.061719068968950,1,72,0,-96.937500000000000,30.562500000000000
1174,-1,71,0.063869263307836,1,71,0,-97.062500000000000,30.562500000000000
1175,-1,87,0.056325748283259,1,87,0,-97.062500000000000,30.687500000000000
1176,-1,42,0.059068796111239,1,42,0,-96.687500000000000,30.312500000000000
1177,-1,25,0.038880701907432,1,25,0,-96.812500000000000,30.187500000000000
1178,-1,42,0.064370603983836,1,42,0,-96.687500000000000,30.312500000000000
1179,-1,58,0.005507647487009,1,58,0,-96.687500000000000,30.437500000000000
1180,-1,45,0.054447747250038,1,45,0,-96.312500000000000,30.312500000000000
1181,-1,45,0.061032513360108,1,45,0,-96.312500000000000,30.312500000000000
1182,-1,45,0.019378494261830,1,45,0,-96.312500000000000,30.312500000000000
1183,-1,45,0.038067463755116,1,45,0,-96.312500000000000,30.312500000000000
1184,-1,44,0.051346091389968,1,44,0,-96.437500000000000,30.312500000000000
1185,-1,60,0.048926813532431,1,60,0,-96.437500000000000,30.437500000000000
1186,-1,59,0.059338172107191,1,59,0,-96.562500000000000,30.437500000000000
1187,-1,59,0.038525149604256,1,59,0,-96.562500000000000,30.437500000000000
1188,-1,74,0.038614565960688,1,74,0,-96.687500000000000,30.562500000000000
1189,-1,58,0.075747374199665,1,58,0,-96.687500000000000,30.437500000000000
1190,-1,74,0.024734138458910,1,74,0,-96.687500000000000,30.562500000000000
1191,-1,74,0.024289237884336,1,74,0,-96.687500000000000,30.562500000000000
1192,-1,59,0.024192165544777,1,59,0,-96.562500000000000,30.437500000000000
1193,-1,59,0.038132191595864,1,59,0,-96.562500000000000,30.437500000000000
1194,-1,38,0.064008896626411,1,38,0,-97.187500000000000,30.312500000000000
1195,-1,38,0.057842236009384,1,38,0,-97.187500000000000,30.312500000000000
1196,-1,57,0.026283126699560,1,57,0,-96.812500000000000,30.437500000000000
1197,-1,57,0.072423034881693,1,57,0,-96.812500000000000,30.437500000000000
1198,-1,57,0.052594594070184,1,57,0,-96.812500000000000,30.437500000000000
1199,-1,41,0.063980788919111,1,41,0,-96.812500000000000,30.312500000000000
1200,-1,57,0.059028632837021,1,57,0,-96.812500000000000,30.437500000000000
1201,-1,58,0.025412909542607,1,58,0,-96.687500000000000,30.437500000000000
1202,-1,55,0.073528791382977,1,55,0,-97.062500000000000,30.437500000000000
1203,-1,55,0.067384046001276,1,55,0,-97.062500000000000,30.437500000000000
1204,-1,72,0.049862243743633,1,72,0,-96.937500000000000,30.562500000000000
1205,-1,55,0.053984316005808,1,55,0,-97.062500000000000,30.437500000000000
1206,-1,55,0.066034176660004,1,55,0,-97.062500000000000,30.437500000000000
1207,-1,55,0.057670858657085,1,55,0,-97.062500000000000,30.437500000000000
1208,-1,40,0.040879371291598,1,40,0,-96.937500000000000,30.312500000000000
1209,-1,40,0.043072331852794,1,40,0,-96.937500000000000,30.312500000000000
1210,-1,40,0.037757016104101,1,40,0,-96.937500000000000,30.312500000000000
1211,-1,40,0.029820214732779,1,40,0,-96.937500000000000,30.312500000000000
1212,-1,57,0.061320572962996,1,57,0,-96.812500000000000,30.437500000000000
1213,-1,40,0.042808055691364,1,40,0,-96.937500000000000,30.312500000000000
1214,-1,39,0.013325548839219,1,39,0,-97.062500000000000,30.312500000000000
1215,-1,39,0.028533678495070,1,39,0,-97.062500000000000,30.312500000000000
1216,-1,41,0.029429286801117,1,41,0,-96.812500000000000,30.312500000000000
1217,-1,41,0.026833409358027,1,41,0,-96.812500000000000,30.312500000000000
1218,-1,55,0.052963802229043,1,55,0,-97.062500000000000,30.437500000000000
1219,-1,55,0.051293908217254,1,55,0,-97.062500000000000,30.437500000000000
1220,-1,40,0.040632208353867,1,40,0,-96.937500000000000,30.312500000000000
1221,-1,40,0.078613127862670,1,40,0,-96.937500000000000,30.312500000000000
1222,-1,60,0.061657129031841,1,60,0,-96.437500000000000,30.437500000000000
1223,-1,60,0.050257589685844,1,60,0,-96.437500000000000,30.437500000000000
1224,-1,58,0.058595862139030,1,58,0,-96.687500000000000,30.437500000000000
1225,-1,59,0.068772718494344,1,59,0,-96.562500000000000,30.437500000000000
1226,-1,40,0.029852240155092,1,40,0,-96.937500000000000,30.312500000000000
1227,-1,40,0.035850445892357,1,40,0,-96.937500000000000,30.312500000000000
1228,-1,40,0.047906286570968,1,40,0,-96.937500000000000,30.312500000000000
1229,-1,40,0.054853135577249,1,40,0,-96.937500000000000,30.312500000000000
1230,-1,41,0.031263199181329,1,41,0,-96.812500000000000,30.312500000000000
1231,-1,41,0.027405104644500,1,41,0,-96.812500000000000,30.312500000000000
1232,-1,40,0.064615098794320,1,40,0,-96.937500000000000,30.312500000000000
1233,-1,40,0.082472957331713,1,40,0,-96.937500000000000,30.312500000000000
1234,-1,55,0.052756127491557,1,55,0,-97.062500000000000,30.437500000000000
1235,-1,55,0.062344968942247,1,55,0,-97.062500000000000,30.437500000000000
1236,-1,41,0.074202335096656,1,41,0,-96.812500000000000,30.312500000000000
1237,-1,58,0.026670145350531,1,58,0,-96.687500000000000,30.437500000000000
